cod_modelo_color,cod_color_code,des_color_specification_esp,des_agrup_color_eng,des_sex,des_age,des_line,des_fabric,des_product_category,des_product_aggregated_family,des_product_family,des_product_type,des_filename,cod_outfit,image_embedding
41085800-02,02,OFFWHITE,WHITE,Female,Adult,SHE,P-PLANA,Bottoms,Trousers & leggings,Trousers,Trousers,datathon/images/2019_41085800_02.jpg,"[1769, 1396, 683]",[0.         1.3129092  0.4766593  ... 1.6448985  0.14263867 1.2634785 ]
53000586-TO,TO,TEJANO OSCURO,BLUE,Female,Adult,SHE,J-JEANS,Bottoms,Jeans,Jeans,Jeans,datathon/images/2019_53000586_TO.jpg,"[629, 616, 576, 2103, 2527, 1644, 4285, 7617, 2071, 4729, 6051, 6885, 3178, 1878, 2087, 1376, 6129]",[0.2522539  0.8700027  0.01203695 ... 0.45077714 0.14807944 0.23333214]
53030601-81,81,ROSA PASTEL,PINK,Female,Adult,SHE,P-PLANA,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,datathon/images/2019_53030601_81.jpg,[1166],[0.80018973 1.7448032  0.19901237 ... 0.6657603  0.20915617 0.33345065]
53050730-15,15,MOSTAZA,YELLOW,Female,Adult,SHE,P-PLANA,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,datathon/images/2019_53050730_15.jpg,[1593],[0.21486759 3.5540323  1.1177646  ... 0.5826875  0.38264263 0.8057355 ]
53070773-70,70,ROJO,RED,Female,Adult,SHE,P-PLANA,Tops,Shirts,Shirt,Shirt,datathon/images/2019_53070773_70.jpg,[2019],[0.16383529 1.0914382  0.02080784 ... 0.7994751  0.6836782  0.29829597]
53003736-94,94,GRIS MEDIO VIGORE,GREY,Female,Adult,SHE,T-TRICOT,Tops,Sweaters and Cardigans,Sweater,Sweater,datathon/images/2019_53003736_94.jpg,[697],[0.00465202 3.2706106  0.08515758 ... 0.24702984 0.08470412 1.2342336 ]
53045718-17,17,CARAMELO,YELLOW,Female,Adult,SHE,T-TRICOT,Tops,Sweaters and Cardigans,Sweater,Sweater,datathon/images/2019_53045718_17.jpg,"[1697, 1112, 80, 910, 1497, 5404, 1714, 1150, 1923, 751]",[0.20133077 2.2162097  0.00415304 ... 0.49100745 0.21345577 0.5057326 ]
53050926-37,37,KHAKI,BROWN,Female,Adult,SHE,P-PLANA,Bottoms,Skirts and shorts,Skirts,Skirt,datathon/images/2019_53050926_37.jpg,[1617],[0.3501803  0.97630745 0.31554747 ... 1.1440612  0.53259903 0.9024296 ]
53085736-96,96,GRIS OSCURO VIGORE,GREY,Female,Adult,SHE,T-TRICOT,Tops,Sweaters and Cardigans,Sweater,Sweater,datathon/images/2019_53085736_96.jpg,[2331],[0.08302588 3.2551734  0.02240896 ... 0.09802581 0.15956494 0.6287051 ]
53015770-02,02,OFFWHITE,WHITE,Female,Adult,SHE,P-PLANA,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,datathon/images/2019_53015770_02.jpg,[941],[0.05813735 2.5885603  0.07987051 ... 0.7485187  0.28217366 0.7851688 ]
57007891-05,05,CRUDO,WHITE,Female,Adult,SHE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Jewellery,Earrings,datathon/images/2019_57007891_05.jpg,[3274],[0.3164682  0.08972425 0.33923158 ... 0.60952747 1.4824601  0.27924374]
57064001-02,02,OFFWHITE,WHITE,Female,Adult,SHE,J-JEANS,Bottoms,Jeans,Jeans,Jeans,datathon/images/2019_57064001_02.jpg,"[2364, 1339, 1938, 1733, 1915, 2361, 3632, 692, 1860, 2118, 909, 918, 1112, 2148, 6269, 6398, 307, 490, 769, 907, 937, 963, 1444, 1499, 1660, 1679, 2463, 4135, 2480, 255, 740, 1490, 1515, 1683, 1694, 2326, 2894, 3188, 3295, 5324, 3319, 2934, 2578, 7331, 1587, 3125, 1680, 3166, 3200, 1923, 6052, 1716, 681, 1715, 6165, 5387, 3883, 951, 2572, 6176, 6932]",[0.49974954 0.44475695 0.07445761 ... 0.25849855 1.5239726  0.9315348 ]
57067700-74,74,FRESA,RED,Female,Adult,SHE,P-PLANA,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,datathon/images/2019_57067700_74.jpg,"[6490, 5502, 3055]",[0.01075296 1.5716821  0.         ... 0.38465625 0.13478479 0.85653615]
47086303-08,08,BEIGE,WHITE,Female,Adult,SHE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Bags,Totes bag,datathon/images/2023_47086303_08.jpg,"[5653, 5671, 3457, 3469, 3407]",[0.03035788 0.256672   0.00211186 ... 0.01376624 0.1641613  0.07241666]
57040032-32,32,CHOCOLATE,BROWN,Female,Adult,SHE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Glasses,Sunglasses,datathon/images/2023_57040032_32.jpg,"[5881, 4881]",[0.         0.1587928  0.02024358 ... 0.5676209  0.76755184 0.8644707 ]
57040164-99,99,NEGRO,GREY,Female,Adult,SHE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Wallets & cases,Card holder,datathon/images/2023_57040164_99.jpg,"[2612, 4933, 4935, 4944, 5610]",[0.03678047 0.02232064 0.1050292  ... 0.01434484 0.3973354  0.32507852]
57020260-83,83,ROSA PALO,PINK,Female,Adult,SHE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Wallets & cases,Wallet,datathon/images/2023_57020260_83.jpg,"[3993, 4005, 4444, 4459]",[0.00713732 0.12048066 0.20917754 ... 0.43378526 0.08522514 0.16654249]
57050281-TM,TM,TEJANO MEDIO,BLUE,Female,Adult,SHE,J-JEANS,Bottoms,Skirts and shorts,Shorts,Shorts,datathon/images/2023_57050281_TM.jpg,[5687],"[0.0000000e+00 1.2339357e+00 1.4306754e-02 ... 8.1683288e-04 5.2492741e-02
 4.3719146e-01]"
